best_part,sum_veloc,mean_fit,best_fit
123284.66004221809,-12.46298079176048,3039996.793181841,67146.41950852514
139155.1931072348,-268.2330850234446,3007345.121318597,67146.41950852514
120880.93929311281,-208.58946222720698,3004953.943598702,67146.41950852514
122011.85923430105,160.45430918502575,2972316.756436755,67146.41950852514
107834.71215330582,181.26792957414864,2957101.4425761816,67146.41950852514
105070.29966574188,-24.493180657180943,2957101.4425761816,67146.41950852514
98814.35940805801,80.51559707287973,2955125.932103082,67146.41950852514
99288.142172702,-26.236458294625937,2945104.1379589047,67146.41950852514
83908.56336137431,302.08235002680857,2930625.3486232595,67146.41950852514
88539.74557787275,38.80008946407932,2917747.2842440475,67146.41950852514
61816.72797166107,225.54153738541757,2866854.7616088497,61816.72797166107
62694.875432422785,90.21661495416706,2854755.11898284,61816.72797166107
71305.7445468414,-0.008977419356575922,2842156.822939461,61816.72797166107
61930.644720578835,-63.421511243005256,2831614.292248287,61816.72797166107
58272.15363338745,126.30903933795818,2798019.05754812,58272.15363338745
62668.69564503728,50.52361573518326,2794326.6653438853,58272.15363338745
67430.5208728695,37.94792326161155,2786984.8134197304,58272.15363338745
61487.46581614874,-89.27404546823398,2786984.8134197304,58272.15363338745
49341.10940050837,-58.19178718178943,2777556.0526407217,49341.10940050837
53407.10847798967,-23.276714872715786,2757681.507367449,49341.10940050837
47104.26713349578,-25.374153937600106,2748602.4060696857,47104.26713349578
46537.100627507505,-10.149661575040042,2748035.2395636975,46537.100627507505
46622.86923020168,-4.059864630016018,2748035.2395636975,46537.100627507505
46240.934076931306,12.144021365585663,2747739.0730131213,46240.934076931306
46165.45046691504,4.857608546234266,2747663.589403105,46165.45046691504
46147.62349511521,1.9430434184937067,2747645.7624313054,46147.62349511521
46142.471341948374,0.7772173673974827,2747640.6102781384,46142.471341948374
46140.727062370126,0.31088694695899305,2747638.86599856,46140.727062370126
46140.08000360898,0.12435477878359726,2747638.218939799,46140.08000360898
46031.77431489286,-133.02540208672042,2740922.6285526915,46031.77431489286
44590.63814022757,19.404407164221418,2738964.734902912,44590.63814022757
44585.16114311006,40.58108000131055,2737926.8242365406,44585.16114311006
44606.572444783626,16.232432000524216,2737926.8242365406,44585.16114311006
42985.848680280964,87.53395997382661,2736246.244339145,42985.848680280964
42861.455735073425,8.456808295002148,2734598.3293685573,42861.455735073425
42863.389875561414,3.3827233180008633,2734598.3293685573,42861.455735073425
42634.531299546165,-6.822456813746389,2734371.4049330303,42634.531299546165
42761.04879048582,-2.7289827254985566,2734371.4049330303,42634.531299546165
42580.5473940085,3.9743720304611223,2733936.388802451,42580.5473940085
42604.19131753862,1.5897488121844483,2733936.388802451,42580.5473940085
41901.179154305704,37.6375301107881,2733232.7515015174,41901.179154305704
42096.772622258584,15.055012044315234,2732783.987912516,41901.179154305704
42338.47998395583,-40.37495440662252,2732783.987912516,41901.179154305704
42016.3375070472,37.26702342242829,2732677.937103168,41901.179154305704
41810.15523748798,-9.482943716372498,2732586.9131863504,41810.15523748798
41975.00730904632,-3.7931774865489962,2732586.9131863504,41810.15523748798
41573.877433959555,16.287462875589714,2732128.822240506,41573.877433959555
41500.778209421216,6.514985150235887,2732055.7230159678,41500.778209421216
41495.54476397164,2.6059940600943556,2731864.510036223,41495.54476397164
41286.985096823715,17.22635138708884,2731533.5548139983,41286.985096823715
41202.406582169155,6.89054055483554,2731419.066484409,41202.406582169155
41152.830477994656,2.0842017938686266,2731080.0791793824,41152.830477994656
41045.3548812334,-0.5063964446398596,2730853.552613563,41045.3548812334
40996.80047582045,-0.20255857785594383,2730804.99820815,40996.80047582045
