best_part,omg,f,sum_veloc,c2,c1,mean_fit,best_fit
12574.720116457018,0.4,0.0,-112.57955043946623,2.5,1.5,377007.6300257077,12561.552450468858
12563.544672377453,0.45463781326929376,0.08596771481944186,-1050.2393926699042,1.7499452276259158,1.7193773220478255,376998.06405014603,12561.552450468858
12569.51055440774,0.4,0.0,-1404.0274198793045,1.3466837325836196,1.855507030586557,376985.0293093075,12561.552450468858
12569.103400376136,0.5412668119024086,0.21958026795980465,718.3535897550087,1.1247238488633782,2.576634973752555,376983.06959235325,12561.552450468858
12565.354639873554,0.4,0.0,202.51336715964797,2.5,1.5,376969.879675991,12561.552450468858
12563.660797150755,0.4498340668242431,0.07850921272003311,16.801216154465052,2.5,1.5,376960.13456247514,12561.552450468858
12567.58394759081,0.5745532845653971,0.2715070148100615,627.0301459052988,2.5,1.5,376960.120825196,12561.552450468858
12567.682652921229,0.5023585255293233,0.15957664622991416,-237.22668740014092,1.8819137831514996,1.8825712297690333,376955.8291022845,12561.552450468858
12566.448673702644,0.6021250379318526,0.3153047868419387,-183.62199913024696,2.5,1.5,376955.47833723854,12561.552450468858
12559.231502144105,0.5395100755890895,0.21685984332267993,1131.08710353096,1.7522017405492192,2.1014847558799703,376947.9435085589,12559.231502144105
12565.511257588889,0.6276160432525763,0.35671854912605394,610.2328887238325,2.5,1.5,376945.4566377506,12559.231502144105
12564.753152037738,0.6166868447270175,0.33883621741177566,217.41873609911133,2.5,1.5,376945.4566377506,12559.231502144105
12556.657023706017,0.6984390783166101,0.4789773105408363,-306.6918132465795,2.5,1.5,376940.5645154289,12556.657023706017
12561.107070937049,0.6480916962226373,0.390817946129358,-214.20554737119102,2.5,1.5,376939.2741399119,12556.657023706017
12560.730599459432,0.6343546601114605,0.36784979232408455,-514.8939440346101,2.1268945787311044,1.8130657611015502,376937.9531250629,12556.657023706017
12558.606854535052,0.6817914610444212,0.4490315357193552,258.47090339107416,1.6411266209623663,2.2132151263800366,376937.07759955217,12556.657023706017
12564.204072650939,0.650707755311376,0.39523722454700194,253.04452018324542,1.4194050549135724,2.2626853161462153,376935.76338503824,12556.657023706017
12564.752888522791,0.5928701816410256,0.3005032563668622,-182.11641621090794,1.4156136189446265,2.384853263874422,376928.29619075573,12556.657023706017
12559.14504002051,0.5710475835116903,0.26599678939932236,-509.8471045507233,1.1340895067127794,2.514666975705706,376926.94357746904,12556.657023706017
12555.38936724005,0.6106366996989405,0.32902094200586585,-142.5348655131065,0.6387533133418457,2.871308840503945,376924.96024066344,12555.38936724005
12560.088157114658,0.6366561805433274,0.3716712780637542,-87.03701986895562,0.3726292907644862,3.3603018403917835,376923.84940631525,12555.38936724005
12556.02742585421,0.6436331621622994,0.38332054010366834,-708.4402001961395,0.13452595335934187,3.787339021447315,376921.09402977553,12555.38936724005
12557.907891764475,0.709527160725981,0.499443773089255,639.1905086562213,2.5,1.5,376921.09402977553,12555.38936724005
12557.287362777908,0.6965221017114985,0.4754830185713886,348.32817159821576,2.5,1.5,376921.09402977553,12555.38936724005
12558.747783758581,0.692963059854768,0.469028359476885,-697.0641714409536,2.2280651315799593,1.6990812946265699,376920.17914363486,12555.38936724005
12556.810596305239,0.8097196656237018,0.7129441443078289,354.58232650781605,2.5,1.5,376915.08025422244,12555.38936724005
12557.275464895803,0.8211464004943159,0.7421534346348456,410.35093761678627,2.5,1.5,376913.68528565095,12555.38936724005
12560.795627759948,0.7581495850976151,0.5953947697288849,-611.4517481296052,2.5,1.5,376913.68528565095,12555.38936724005
12556.484363848846,0.6521603862847197,0.39769774523464907,-126.57602322936842,2.5,1.5,376913.68528565095,12555.38936724005
12555.620298773214,0.8016031356673372,0.6930036000926053,-390.63625641433964,2.5,1.5,376913.56225810584,12555.38936724005
12558.783935319903,0.7803393277944232,0.6435038508693405,-581.2540615165274,2.5,1.5,376910.767739091,12555.38936724005
12557.14870075389,0.7099265794180156,0.5001894608338837,-344.4367028139147,2.5,1.5,376910.767739091,12555.38936724005
12556.6535346698,0.7537604038467385,0.586244088000068,-310.0930053253733,2.5,1.5,376910.02264990896,12555.38936724005
12557.52927730858,0.7089169163110817,0.498305656179107,-114.31345894675037,2.01729470201344,1.8177858890428449,376910.02264990896,12555.38936724005
12559.731876620286,0.7811968161950176,0.6454306191992855,-576.3787761549789,2.051057909229465,1.8787595061920477,376908.56245393655,12555.38936724005
