best_part,omg,f,sum_veloc,c2,c1,mean_fit,best_fit
441.1277562654844,0.4,0.0,7.285943651418033,2.5,1.5,16199.955095508454,441.1277562654844
500.94143726576596,0.4367275412918279,0.05808122365857528,2.9143774605672146,2.5,1.5,15847.01909768784,441.1277562654844
504.91263161621146,0.43735925216923005,0.05906874295146851,-7.63872324833705,1.6612041258244763,2.1593817970571645,15609.17102252584,441.1277562654844
542.8604734721563,0.44625640114780174,0.07294500913471466,-0.2046467014310161,0.6768645319855706,2.334038376534251,15503.143081689754,441.1277562654844
459.84713040063485,0.45487081923991635,0.08632914519062868,1.8460551530071438,0.33442521530906044,2.947942957309273,15369.080261689664,441.1277562654844
440.10058676330675,0.4831006907352294,0.12993927444900932,12.42222439841355,-0.6218466404924919,3.682943680565423,15220.414264771543,440.10058676330675
542.9101099329791,0.4632196631133731,0.09926058819637391,6.001185187341605,-1.138493748219382,4.120403380014949,15189.404529475416,440.10058676330675
543.2150069790545,0.4201075896447125,0.03197437132906561,1.8586361779050273,-1.8352777172967756,4.630655297984079,15189.404529475416,440.10058676330675
559.1988051051825,0.4552761520057079,0.08695780966121018,14.779549830639434,-2.4754620750111767,4.808998928132441,15189.404529475416,440.10058676330675
482.27660078988214,0.4,0.0,2.7107752881361518,-2.638633196141364,5.115004397967423,15156.843290712877,440.10058676330675
546.1817024388255,0.6308160126537723,0.36199392964661486,-1.339462389896606,-2.8230821137918323,5.263576020160996,15156.843290712877,440.10058676330675
523.5491545060867,0.4393940999042756,0.06224756810211876,0.5954274695830232,-2.8251812859301704,6.225037481567966,15156.843290712877,440.10058676330675
637.7295188177361,0.5664739703304635,0.25882476903988894,-1.421261290051017,-3.2325998573482515,6.444702898750316,15156.843290712877,440.10058676330675
598.2967677843712,0.5833808243445983,0.285435669038748,-2.677570818044823,-3.3308801106041246,6.848023974936019,15156.843290712877,440.10058676330675
